Country Name,Year,CO2,CO2_ton,Renewables,Electricity,Energy consumption,Country Code,PBI per capita,Poblacion,CO2_per_capita_ton,Energy_use_per_capita
Iran,1993,219.61083561499998,219610835.61499998,12.890399,76.20400000000001,87.106241861,IRN,1067.30753326284,59723764.0,3.6771097617859447,1.4584854675435393e-06
Kuwait,1993,28.802289788,28802289.788,0.0,20.178,12.304480861,KWT,,,,
Arabia Saudita,1993,187.360203338,187360203.338,0.0,91.04,79.857895373,SAU,7485.541334453788,17763298.0,10.547602328013639,4.495668280349742e-06
Emiratos Árabes Unidos,1993,59.993723741000004,59993723.741000004,0.0,21.73,23.512201153000003,ARE,25596.692274786365,2173139.0,27.606942648859555,1.081946490905552e-05
Bélgica,1994,113.649002549,113649002.549,1.992269,72.179,52.457509168,BEL,24338.137701816122,10115603.0,11.235020052586089,5.185801495768468e-06
República Checa,1994,125.87052296600001,125870522.966,3.572098,58.705,41.185572549999996,CZE,4601.952312486726,10333587.0,12.180719334535047,3.985602729236227e-06
Francia,1994,355.955081774,355955081.774,17.453887,476.868,230.765600262,FRA,23496.523322266625,59327192.0,5.9998639708752775,3.889710476470891e-06
Alemania,1994,874.458817016,874458817.016,5.17575,529.16,332.784805301,DEU,27087.55845356168,81438348.0,10.737678728650046,4.086340323369527e-06
Italia,1994,388.60744517899997,388607445.17899996,22.135514,231.81300000000002,151.400790395,ITA,19273.844170010307,56843400.0,6.836456742189946,2.663471755647973e-06
Países Bajos,1994,175.950363396,175950363.396,1.575119,79.867,70.783416097,NLD,24646.314301755818,15382838.0,11.438095063862727,4.601453652245444e-06
Polonia,1994,343.75238375600003,343752383.75600004,2.834935,135.347,97.264428481,POL,2874.8253108451954,38542652.0,8.91875275619332,2.52355308817359e-06
